_time,process_name,process_path,dest,process_hash
1576627200,MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MpCmdRun.exe,unknown,E3AC7A2DEEB3C633BE6CFF74B68085C665D1E9B67C133EFB3CA6673CFEF0E6FC
1576627200,MpCmdRun.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MpCmdRun.exe,unknown,348AB3C14C0C617EEDC8BE74D1F5B6A50F045D455F37AAED34957FEB6614771F
1576627200,MpSigStub.exe,C:\Windows\Temp\F4818294-5F17-4B17-82C9-07B16D7A98F1\MpSigStub.exe,DESKTOP-8OSOPJV,489663A32CE72A60FB45D6F88A391EF17EB1AA97554A3FD7867C8F6DECB35BC7
1576627200,MsMpEng.exe,C:\Program Files\Windows Defender\MsMpEng.exe,unknown,2D424A498147C9F0EE8E0382F0F8ACC361DAF56496246991679D017BD8CBECFE
1576627200,MsMpEng.exe,C:\Program Files\Windows Defender\MsMpEng.exe,unknown,C4AEEAFEB3AF578A39E36FBBBC08255A8494BE1AAAFF558363744C3B9950FDB9
1576627200,MsMpEng.exe,C:\Program Files\Windows Defender\MsMpEng.exe,unknown,053E2EBD23815717F3BBF09F8F41FB33C9958245843EE7216A4369863C1E7447
1576627200,MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MsMpEng.exe,unknown,DF8490C456144CDA86774CF5682D0CEF45CF450BFC1AB3AAEACE7A86485E0A7B
1576627200,MsMpEng.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\MsMpEng.exe,unknown,96CCF603E740E96EF3C80AB7579AE921AB2836B9DEDD6989901B7E646D0D3D57
1576627200,NisSrv.exe,C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\NisSrv.exe,unknown,A799859EBEECEE26CD57E15C4B8453AC353B5E7F9E1EA133F5D74014A2E60110
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,EC753EFE972B0FC9DE011223FF0FD226DA4E781114ADAE5F00E08C38D02A0D86
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,698D0292360AA30B5C760A3BAEB63F9774217D34A6D62A74FF13205247C7261D
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,EDFB1AA836CA67A5A8F5D631D40A8A7B8EBE79AAA91E93FFEE84389618D59334
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,54EEEE5902450BAD08ED81098804F22C32B0295576440604217D61385E5502C0
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,9DBA42CF9A7C873487AE85FC6238CF4453BAD06FBD0E63D7DB449B0F1F9E6DA2
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,0251F41ECF9159FD2A8208FAD42C77CA22DBEE4FB5A811E64955CF88EC9539B6
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,2B3EC350812F3D000FA80978F8BF5767A2120F91DA051D54455668D5EE04FA40
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,8FF3FEA97D4077BB142EA06E93025C1FF110A765BB1C8909503A54658EAC260D
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,B44D944D1C4DA423626ECF3C5882AB788451A4CE11FEBCF2803E4343F770765B
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,31C1A19B4C53D57855CFEFE8B750918642FBEBF631AEFC97DD9664435E074E6C
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,C22F479455B1338732342DB3DBF67FED067D5BA0C498224ECB4865652372D5C7
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,8C07E3C7E4D028B60F1C2E5BB1F9A28E8C01D17F3120C37635141AF69FE329D2
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,D0C0CF2DD669EDAC5AA598974F2C2486B8413DFA2DB6000AEBB66AF0E64163C1
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,D4DB51D4DE49243413BC66C3C3233B51FCCD2B03A7CB2AB83C902C60AA293077
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,7A629EC0D0D36910C31EA775A5A7FC77FFA908E622BB43D65EF7485E4505575C
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,C89172DD5C3082BAF3CE2CA1AF9BBD549EC79651BC2A848F2E17BA98535CFF20
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,1FFC5FB501B1D03072AFE6B49E13433EC187DC1A930E297137B602EF65E71345
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,3D3A2A52F634CCA7531969FE2EAD3CABE1C32E073295B06EB6DAE6145560087E
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,CAD54319129E3C8AA9C42FA0EA368BC7CA18B65E0E50F859968D486A6A29E790
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,F3EFF5755C34EFAE0F19CBE62549AC4578E2FC31B409D767A054CED4EAB5ED54
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,97D5C77CAAC65BD6342BC91737DA4B332B4121AC4ABF2E0ED7665367E8112C7E
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,DF66EE2BB03721B6E5B4A6FF4B257426AE77D8C62F9109FD73DCD87EEE787A7E
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,71B353EB6752D53E2483CA6336D1829483CDB0A8C2CF8442673C05389E9C70D7
1576627200,OneDrive.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDrive.exe,unknown,9F3C0EC253FEBB50E431401C44ABD0305F7922F998F8F1B1F3A52FDEFD80BD5D
1576627200,OneDriveStandaloneUpdater.exe,C:\Users\CahitKaya\AppData\Local\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe,DESKTOP-8OSOPJV,5069D955709EDDD7254372DB18EF0EBF80DA6E57E17A1054078E0BCB803E6A4E
1576627200,PING.EXE,C:\Windows\System32\PING.EXE,DESKTOP-8OSOPJV,E9EF80A7849F1CF02CB5FB8396FF9E270CB9006F30294A52C6490A72B373BE00
